French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
